Player_match_SK,Match_Id,Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country_Name,Role_Desc,Player_team,Opposit_Team,Season_year,is_manofThematch,Age_As_on_match,IsPlayers_Team_won,Batting_Status,Bowling_Status,Player_Captain,Opposit_captain,Player_keeper,Opposit_keeper
12694,335987,6,R Dravid,1973-01-11,Right-hand bat,Right-arm offbreak,India,Captain,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,35,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha
12695,335987,7,W Jaffer,1978-02-16,Right-hand bat,Right-arm offbreak,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,30,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha
12696,335987,8,V Kohli,1988-11-05,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,20,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha
12697,335987,9,JH Kallis,1975-10-16,Right-hand bat,Right-arm fast-medium,South Africa,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,33,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha
12698,335987,10,CL White,1983-08-18,Right-hand bat,Legbreak googly,Australia,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,25,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha
12699,335987,11,MV Boucher,1976-12-03,Right-hand bat,Right-arm medium,South Africa,Keeper,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,32,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha
12700,335987,12,B Akhil,1977-10-07,Right-hand bat,Right-arm medium-fast,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,31,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha
12701,335987,13,AA Noffke,1977-04-30,Right-hand bat,Right-arm fast-medium,Australia,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,31,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha
12702,335987,14,P Kumar,1986-10-02,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,22,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha
12703,335987,15,Z Khan,1978-10-07,Right-hand bat,Left-arm fast-medium,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,30,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha
12704,335987,16,SB Joshi,1970-06-06,Left-hand bat,Slow left-arm orthodox,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,38,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha
12705,335987,1,SC Ganguly,1972-07-08,Left-hand bat,Right-arm medium,India,Captain,Kolkata Knight Riders,Royal Challengers Bangalore,2008,0,36,1,,,SC Ganguly,R Dravid,WP Saha,MV Boucher
12706,335987,2,BB McCullum,1981-09-27,Right-hand bat,Right-arm medium,New Zealand,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,1,27,1,,,SC Ganguly,R Dravid,WP Saha,MV Boucher
12707,335987,3,RT Ponting,1974-12-19,Right-hand bat,Right-arm medium,Australia,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,0,34,1,,,SC Ganguly,R Dravid,WP Saha,MV Boucher
12708,335987,4,DJ Hussey,1977-07-15,Right-hand bat,Right-arm offbreak,Australia,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,0,31,1,,,SC Ganguly,R Dravid,WP Saha,MV Boucher
12709,335987,5,Mohammad Hafeez,1980-10-17,Right-hand bat,Right-arm offbreak,Pakistan,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,0,28,1,,,SC Ganguly,R Dravid,WP Saha,MV Boucher
12710,335987,62,WP Saha,1984-10-24,Right-hand bat,NULL,India,Keeper,Kolkata Knight Riders,Royal Challengers Bangalore,2008,0,24,1,,,SC Ganguly,R Dravid,WP Saha,MV Boucher
